date,#,Transact. No.,Symbol,Buyer,Seller,Quantity,Rate,Amount
2026-08-11,1,2026081105009518,BEDC,7,19,10,318.00,"3,180.00"
2026-08-11,2,2026081105009372,BEDC,91,41,45,316.10,"14,224.50"
2026-08-11,3,2026081105009464,BGWT,57,48,20,545.00,"10,900.00"
2026-08-11,4,2026081105009861,BHL,14,44,464,208.00,"96,512.00"
2026-08-11,5,2026081105009651,BHL,14,45,24,208.00,"4,992.00"
2026-08-11,6,2026081105009619,BHL,36,45,146,208.00,"30,368.00"
2026-08-11,7,2026081105009617,BHL,36,36,54,208.00,"11,232.00"
2026-08-11,8,2026081105009616,BHL,59,36,146,208.00,"30,368.00"
2026-08-11,9,2026081105009744,BHPL,34,66,10,499.00,"4,990.00"
2026-08-11,10,2026081105009743,BHPL,34,41,28,496.80,"13,910.40"
2026-08-11,11,2026081105009643,BHPL,34,41,62,496.80,"30,801.60"
2026-08-11,12,2026081105009642,BHPL,34,22,30,494.90,"14,847.00"
2026-08-11,13,2026081105009641,BHPL,34,22,35,493.90,"17,286.50"
2026-08-11,14,2026081105009640,BHPL,34,45,"1,993",490.00,"976,570.00"
2026-08-11,15,2026081105009515,BHPL,34,71,200,487.00,"97,400.00"
2026-08-11,16,2026081105009514,BHPL,34,35,490,485.90,"238,091.00"
2026-08-11,17,2026081105009513,BHPL,34,74,100,485.00,"48,500.00"
2026-08-11,18,2026081105009512,BHPL,34,1,50,485.00,"24,250.00"
2026-08-11,19,2026081105009457,BHPL,21,58,237,476.60,"112,954.20"
2026-08-11,20,2026081105009639,BHPL,34,14,100,490.00,"49,000.00"
2026-08-11,21,2026081105009638,BHPL,34,65,100,490.00,"49,000.00"
2026-08-11,22,2026081105009637,BHPL,34,58,10,490.00,"4,900.00"
2026-08-11,23,2026081105009636,BHPL,34,58,20,490.00,"9,800.00"
2026-08-11,24,2026081105009517,BHPL,34,58,10,490.00,"4,900.00"
2026-08-11,25,2026081105009516,BHPL,34,38,150,489.00,"73,350.00"
2026-08-11,26,2026081105009849,BNHC,94,59,50,284.50,"14,225.00"
2026-08-11,27,2026081105009809,BNHC,50,58,"1,000",284.00,"284,000.00"
2026-08-11,28,2026081105009808,BNHC,50,45,400,284.00,"113,600.00"
2026-08-11,29,2026081105009807,BNHC,50,58,50,284.00,"14,200.00"
2026-08-11,30,2026081105009806,BNHC,50,56,20,282.00,"5,640.00"
2026-08-11,31,2026081105009805,BNHC,50,65,360,282.00,"101,520.00"
2026-08-11,32,2026081105009503,BNHC,38,58,150,281.10,"42,165.00"
2026-08-11,33,2026081105009463,BNHC,48,39,300,281.00,"84,300.00"
2026-08-11,34,2026081105009410,BNHC,42,65,52,282.00,"14,664.00"
2026-08-11,35,2026081105009650,BNHC,6,32,86,281.00,"24,166.00"
2026-08-11,36,2026081105009579,BNHC,38,32,200,281.00,"56,200.00"
2026-08-11,37,2026081105009578,BNHC,11,32,100,281.00,"28,100.00"
2026-08-11,38,2026081105009577,BNHC,60,32,314,281.00,"88,234.00"
2026-08-11,39,2026081105009505,BNHC,60,58,540,281.00,"151,740.00"
2026-08-11,40,2026081105009504,BNHC,48,58,40,281.00,"11,240.00"
2026-08-11,41,2026081105009558,CIT,22,58,50,"1,703.00","85,150.00"
2026-08-11,42,2026081105009557,CIT,22,13,50,"1,702.90","85,145.00"
2026-08-11,43,2026081105009868,CKHL,92,45,10,599.00,"5,990.00"
2026-08-11,44,2026081105009867,CKHL,92,47,10,595.00,"5,950.00"
2026-08-11,45,2026081105009866,CKHL,92,33,10,594.00,"5,940.00"
2026-08-11,46,2026081105009865,CKHL,92,22,15,593.00,"8,895.00"
2026-08-11,47,2026081105009864,CKHL,92,90,190,590.00,"112,100.00"
2026-08-11,48,2026081105009863,CKHL,92,4,150,590.00,"88,500.00"
2026-08-11,49,2026081105009862,CKHL,92,42,10,589.00,"5,890.00"
2026-08-11,50,2026081105009821,CKHL,57,42,10,589.00,"5,890.00"
2026-08-11,51,2026081105009632,CKHL,52,25,10,577.10,"5,771.00"
2026-08-11,52,2026081105009553,CKHL,38,90,10,585.00,"5,850.00"
2026-08-11,53,2026081105009376,DOLTI,58,16,10,319.00,"3,190.00"
2026-08-11,54,2026081105009857,DORDI,14,5,10,251.00,"2,510.00"
2026-08-11,55,2026081105009842,DORDI,4,38,875,248.00,"217,000.00"
2026-08-11,56,2026081105009841,DORDI,58,38,150,248.00,"37,200.00"
2026-08-11,57,2026081105009840,DORDI,48,38,50,248.00,"12,400.00"
2026-08-11,58,2026081105009839,DORDI,58,38,255,248.00,"63,240.00"
2026-08-11,59,2026081105009826,DORDI,58,38,10,249.90,"2,499.00"
2026-08-11,60,2026081105009825,DORDI,58,38,100,249.90,"24,990.00"
2026-08-11,61,2026081105009824,DORDI,48,38,50,250.00,"12,500.00"
2026-08-11,62,2026081105009459,DORDI,57,5,471,251.00,"118,221.00"
2026-08-11,63,2026081105009458,DORDI,57,45,229,250.00,"57,250.00"
2026-08-11,64,2026081105009832,DORDI,3,38,20,249.00,"4,980.00"
2026-08-11,65,2026081105009831,DORDI,38,38,150,249.50,"37,425.00"
2026-08-11,66,2026081105009830,DORDI,38,38,100,249.60,"24,960.00"
2026-08-11,67,2026081105009829,DORDI,38,38,10,249.70,"2,497.00"
2026-08-11,68,2026081105009828,DORDI,38,38,52,249.70,"12,984.40"
2026-08-11,69,2026081105009827,DORDI,40,38,105,249.80,"26,229.00"
2026-08-11,70,2026081105009838,DORDI,26,38,143,248.20,"35,492.60"
2026-08-11,71,2026081105009837,DORDI,38,38,200,249.00,"49,800.00"
2026-08-11,72,2026081105009836,DORDI,58,38,90,249.00,"22,410.00"
2026-08-11,73,2026081105009835,DORDI,87,38,10,249.00,"2,490.00"
2026-08-11,74,2026081105009834,DORDI,32,38,300,249.00,"74,700.00"
2026-08-11,75,2026081105009833,DORDI,48,38,50,249.00,"12,450.00"
2026-08-11,76,2026081105009669,EHPL,25,34,33,336.20,"11,094.60"
2026-08-11,77,2026081105009668,EHPL,17,34,57,337.00,"19,209.00"
2026-08-11,78,2026081105009667,EHPL,42,34,10,337.20,"3,372.00"
2026-08-11,79,2026081105009583,EHPL,29,19,10,339.00,"3,390.00"
2026-08-11,80,2026081105009533,EHPL,29,19,10,339.00,"3,390.00"
2026-08-11,81,2026081105009479,EHPL,29,19,10,339.00,"3,390.00"
2026-08-11,82,2026081105009460,EHPL,29,19,10,339.00,"3,390.00"
2026-08-11,83,2026081105009422,EHPL,29,42,30,338.90,"10,167.00"
2026-08-11,84,2026081105009860,ENL,60,71,10,803.00,"8,030.00"
2026-08-11,85,2026081105009859,ENL,60,58,10,800.00,"8,000.00"
2026-08-11,86,2026081105009587,GCIL,35,76,492,347.10,"170,773.20"
2026-08-11,87,2026081105009421,GCIL,44,41,60,347.10,"20,826.00"
2026-08-11,88,2026081105009586,GCIL,35,83,48,347.00,"16,656.00"
2026-08-11,89,2026081105009574,GCIL,44,44,12,346.00,"4,152.00"
2026-08-11,90,2026081105009843,GVL,94,45,11,480.50,"5,285.50"
2026-08-11,91,2026081105009565,GVL,94,26,20,480.50,"9,610.00"
2026-08-11,92,2026081105009450,GVL,94,7,200,480.50,"96,100.00"
2026-08-11,93,2026081105009662,HATHY,42,29,75,680.00,"51,000.00"
2026-08-11,94,2026081105009544,HATHY,29,52,10,682.00,"6,820.00"
2026-08-11,95,2026081105009455,HDL,58,57,260,"1,162.00","302,120.00"
2026-08-11,96,2026081105009454,HDL,4,57,25,"1,162.50","29,062.50"
2026-08-11,97,2026081105009453,HDL,47,57,10,"1,164.00","11,640.00"
2026-08-11,98,2026081105009477,HDL,41,43,257,"1,162.00","298,634.00"
2026-08-11,99,2026081105009476,HDL,17,43,10,"1,162.00","11,620.00"
2026-08-11,100,2026081105009475,HDL,7,43,20,"1,162.00","23,240.00"
2026-08-11,101,2026081105009474,HDL,14,43,93,"1,162.00","108,066.00"
2026-08-11,102,2026081105009456,HDL,14,57,157,"1,162.00","182,434.00"
2026-08-11,103,2026081105009572,HDL,41,26,90,"1,162.00","104,580.00"
2026-08-11,104,2026081105009571,HDL,28,26,10,"1,162.50","11,625.00"
2026-08-11,105,2026081105009562,HDL,41,43,10,"1,162.00","11,620.00"
2026-08-11,106,2026081105009607,HHL,60,38,100,332.10,"33,210.00"
2026-08-11,107,2026081105009588,HHL,60,64,200,332.10,"66,420.00"
2026-08-11,108,2026081105009811,HIDCL,49,26,125,252.50,"31,562.50"
2026-08-11,109,2026081105009666,HIDCL,62,14,10,253.00,"2,530.00"
2026-08-11,110,2026081105009407,HIDCL,58,14,40,253.00,"10,120.00"
2026-08-11,111,2026081105009371,HIDCL,58,45,6,253.00,"1,518.00"
2026-08-11,112,2026081105009644,HRL,58,100,20,579.00,"11,580.00"
2026-08-11,113,2026081105009620,HRL,22,100,100,579.00,"57,900.00"
2026-08-11,114,2026081105009445,HRL,51,45,12,579.00,"6,948.00"
2026-08-11,115,2026081105009444,HRL,32,45,11,579.10,"6,370.10"
2026-08-11,116,2026081105009424,HRL,21,90,100,579.20,"57,920.00"
2026-08-11,117,2026081105009423,HRL,52,90,10,579.50,"5,795.00"
2026-08-11,118,2026081105009412,HRL,1,58,1,570.00,570.00
2026-08-11,119,2026081105009555,HRL,90,100,200,579.00,"115,800.00"
2026-08-11,120,2026081105009472,HRL,4,100,43,579.00,"24,897.00"
2026-08-11,121,2026081105009471,HRL,34,100,100,579.10,"57,910.00"
2026-08-11,122,2026081105009452,HRL,1,101,9,578.00,"5,202.00"
2026-08-11,123,2026081105009447,HRL,4,45,125,579.00,"72,375.00"
2026-08-11,124,2026081105009446,HRL,58,45,50,579.00,"28,950.00"
2026-08-11,125,2026081105009573,HRL,47,100,15,579.00,"8,685.00"
2026-08-11,126,2026081105009569,HRL,54,90,183,578.80,"105,920.40"
2026-08-11,127,2026081105009568,HRL,49,90,17,578.80,"9,839.60"
2026-08-11,128,2026081105009564,IHL,41,43,828,340.40,"281,851.20"
2026-08-11,129,2026081105009563,IHL,58,43,30,340.50,"10,215.00"
2026-08-11,130,2026081105009665,ILI,58,47,475,410.00,"194,750.00"
2026-08-11,131,2026081105009520,ILI,76,47,500,410.30,"205,150.00"
2026-08-11,132,2026081105009377,ILI,29,47,408,410.50,"167,484.00"
2026-08-11,133,2026081105009603,KBSH,56,45,599,980.00,"587,020.00"
2026-08-11,134,2026081105009602,KBSH,56,56,192,980.00,"188,160.00"
2026-08-11,135,2026081105009601,KBSH,56,74,459,979.90,"449,774.10"
2026-08-11,136,2026081105009600,KBSH,56,45,107,979.90,"104,849.30"
2026-08-11,137,2026081105009599,KBSH,56,58,19,979.00,"18,601.00"
2026-08-11,138,2026081105009598,KBSH,56,82,94,977.90,"91,922.60"
2026-08-11,139,2026081105009404,KBSH,32,42,64,974.80,"62,387.20"
2026-08-11,140,2026081105009403,KBSH,32,72,120,974.70,"116,964.00"
2026-08-11,141,2026081105009402,KBSH,32,17,16,972.90,"15,566.40"
2026-08-11,142,2026081105009443,KBSH,32,38,100,977.00,"97,700.00"
2026-08-11,143,2026081105009442,KBSH,32,34,80,976.00,"78,080.00"
2026-08-11,144,2026081105009441,KBSH,32,52,77,975.00,"75,075.00"
2026-08-11,145,2026081105009440,KBSH,32,38,100,975.00,"97,500.00"
2026-08-11,146,2026081105009439,KBSH,32,51,50,974.90,"48,745.00"
2026-08-11,147,2026081105009438,KBSH,32,42,36,974.80,"35,092.80"
2026-08-11,148,2026081105009597,KBSH,56,1,10,977.50,"9,775.00"
2026-08-11,149,2026081105009596,KBSH,56,57,100,977.50,"97,750.00"
